ts,tempC,humidity
2025-11-11T10:35:24.952742,24.10,34.00
2025-11-11T10:35:25.055083,24.10,34.00
2025-11-11T10:35:25.157446,24.10,34.00
2025-11-11T10:35:25.259133,24.10,34.00
2025-11-11T10:35:25.361165,24.10,34.00
2025-11-11T10:35:25.463838,24.10,34.00
2025-11-11T10:35:25.565322,24.10,34.00
2025-11-11T10:35:25.666814,24.10,34.00
2025-11-11T10:35:25.768890,24.10,34.00
2025-11-11T10:35:25.871595,24.10,34.00
2025-11-11T10:35:25.973710,24.10,34.00
2025-11-11T10:35:26.075925,24.10,34.00
2025-11-11T10:35:26.177474,24.10,34.00
2025-11-11T10:35:26.278824,24.10,34.00
2025-11-11T10:35:26.380905,24.10,34.00
2025-11-11T10:35:26.482868,24.10,34.00
2025-11-11T10:35:26.585083,24.10,34.00
2025-11-11T10:35:26.687234,24.10,34.00
2025-11-11T10:35:26.789128,24.10,34.00
2025-11-11T10:35:26.891585,24.10,34.00
2025-11-11T10:35:26.994022,24.10,34.00
2025-11-11T10:35:27.095579,24.10,34.00
2025-11-11T10:35:27.198301,24.10,34.00
2025-11-11T10:35:27.300108,24.10,34.00
2025-11-11T10:35:27.401589,24.10,34.00
2025-11-11T10:35:27.504154,24.10,34.00
2025-11-11T10:35:27.606061,24.10,34.00
2025-11-11T10:35:27.707716,24.10,34.00
2025-11-11T10:35:27.809389,24.10,34.00
2025-11-11T10:35:27.911124,24.10,34.00
2025-11-11T10:35:28.013113,24.10,34.00
2025-11-11T10:35:28.114978,24.10,34.00
2025-11-11T10:35:28.217226,24.10,34.00
2025-11-11T10:35:28.319788,24.10,34.00
2025-11-11T10:35:28.421461,24.10,34.00
2025-11-11T10:35:28.523029,24.10,34.00
2025-11-11T10:35:28.625377,24.10,34.00
2025-11-11T10:35:28.727125,24.10,34.00
2025-11-11T10:35:28.829056,24.10,34.00
2025-11-11T10:35:28.930727,24.10,34.00
2025-11-11T10:35:29.033031,24.10,34.00
2025-11-11T10:35:29.134966,24.10,34.00
2025-11-11T10:35:29.236815,24.10,34.00
2025-11-11T10:35:29.339271,24.10,34.00
2025-11-11T10:35:29.441141,24.10,34.00
2025-11-11T10:35:29.543196,24.10,34.00
2025-11-11T10:35:29.644961,24.10,34.00
2025-11-11T10:35:29.746294,24.10,34.00
2025-11-11T10:35:29.848619,24.10,34.00
2025-11-11T10:35:29.950808,24.10,34.00
2025-11-11T10:35:30.052676,24.10,34.00
2025-11-11T10:35:30.154996,24.10,34.00
2025-11-11T10:35:30.256433,24.10,34.00
2025-11-11T10:35:30.357982,24.10,34.00
2025-11-11T10:35:30.459769,24.10,34.00
2025-11-11T10:35:30.561568,24.10,34.00
2025-11-11T10:35:30.663305,24.10,34.00
2025-11-11T10:35:30.765486,24.10,34.00
2025-11-11T10:35:30.866963,24.10,34.00
2025-11-11T10:35:30.969221,24.10,34.00
2025-11-11T10:35:31.072003,24.10,34.00
2025-11-11T10:35:31.174614,24.10,34.00
2025-11-11T10:35:31.276486,24.10,34.00
2025-11-11T10:35:31.378700,24.10,34.00
2025-11-11T10:35:31.481167,24.10,34.00
2025-11-11T10:35:31.583130,24.10,34.00
2025-11-11T10:35:31.684970,24.10,34.00
2025-11-11T10:35:31.786555,24.10,34.00
2025-11-11T10:35:31.888459,24.10,34.00
2025-11-11T10:35:31.990064,24.10,34.00
2025-11-11T10:35:32.092099,24.10,34.00
2025-11-11T10:35:32.194520,24.10,34.00
2025-11-11T10:35:32.297411,24.10,34.00
2025-11-11T10:35:32.399015,24.10,34.00
2025-11-11T10:35:32.500567,24.10,34.00
